id;name;date_created;description;active;continue_on_click;language;hide_timer;timer_location;skip_button_location;hide_all_ui;hide_play_button;hide_skip_button;fraud;brand_safety;network_id;ad_tag_url;width;height;duration;whitelist_keywords;serve_on_unmeasurable;is_branded;private_brand_safety
249;MM_Test;"2018-06-28 06:19:53";;1;0;EN;0;bottom;middle_right;0;0;0;0;1;98;https://www.adonating.biz/vid/v2l.xml;300;250;15;NULL;1;1;1
250;MM_test2;"2018-06-28 06:55:16";;1;0;JP;0;bottom;middle_right;0;0;0;1;1;98;https://v.combotag.com/17.xml;640;480;241;NULL;1;1;1
252;M_CAR_Fabreeze_prerollvid;"2018-06-28 18:20:53";;1;0;JP;0;top;bottom_right;0;0;0;1;1;130;https://bs.serving-sys.com/Serving?cn=display&c=23&pl=VAST&pli=25402381&PluID=0&pos=3040&ord=[RANDOM_NUMBER]&cim=1;640;480;40;NULL;1;1;1
254;"2 Fabreze";"2018-07-06 10:52:08";;1;0;JP;0;bottom;middle_right;0;0;0;1;1;130;https://bs.serving-sys.com/Serving?cn=display&c=23&pl=VAST&pli=25490269&PluID=0&pos=347&ord=[timestamp]&cim=1&dspu=$$%%TTD_TDID%%$$;640;480;18;NULL;1;1;1
255;"3 Fabreze";"2018-07-06 10:53:04";;1;0;JP;0;bottom;middle_right;0;0;0;1;1;130;https://bs.serving-sys.com/Serving?cn=display&c=23&pl=VAST&pli=25490270&PluID=0&pos=2299&ord=[timestamp]&cim=1&dspu=$$%%TTD_TDID%%$$;640;480;18;NULL;1;1;1
256;"4 Fabreze";"2018-07-06 10:54:06";;1;0;JP;0;bottom;middle_right;0;0;0;1;1;130;https://bs.serving-sys.com/Serving?cn=display&c=23&pl=VAST&pli=25490280&PluID=0&pos=7838&ord=[timestamp]&cim=1&dspu=$$%%TTD_TDID%%$$;640;480;18;NULL;1;1;1
257;"5 Fabreze";"2018-07-06 10:55:41";;1;0;JP;0;bottom;middle_right;0;0;0;1;1;130;https://bs.serving-sys.com/Serving?cn=display&c=23&pl=VAST&pli=25490281&PluID=0&pos=3379&ord=[timestamp]&cim=1&dspu=$$%%TTD_TDID%%$$;640;480;18;NULL;1;1;1
258;1Fabreze;"2018-07-06 11:39:15";;1;1;JP;0;bottom;middle_right;0;0;0;1;1;130;https://bs.serving-sys.com/Serving?cn=display&c=23&pl=VAST&pli=25490268&PluID=0&pos=4807&ord=[timestamp]&cim=1&dspu=$$%%TTD_TDID%%$$;640;480;18;NULL;1;1;1
265;fdsgvwsdfagfvwefrsdgvwsdfdsgvwsdfagfvwefrsd;"2018-07-16 07:35:52";;0;0;JP;0;bottom;middle_right;0;0;0;1;1;82;https://v.combotag.com/17.xml;640;480;35;NULL;1;1;1
266;testOnNamesThatAreTooLong11111111111111111;"2018-07-22 09:23:57";;1;0;EN;0;bottom;middle_right;0;0;0;0;1;98;https://v.combotag.com/17.xml;300;250;15;NULL;1;1;1
267;11111testPermission;"2018-07-25 10:54:59";asdfadsf;1;0;EN;0;bottom;middle_right;0;0;0;0;1;98;https://v.combotag.com/17.xml;300;250;0;NULL;1;1;1
